date,time,trk,cc,lap 1,lap 2,lap 3,total
2022-02-14,1:35 AM,MKS,150,38.201,35.630,35.595,1:49.426
2022-02-14,4:13 AM,MKS,150,37.925,35.848,35.235,1:49.008
2022-04-07,6:51 PM,MKS,150,38.023,35.347,35.004,1:48.374
2022-04-07,8:02 PM,MKS,150,37.205,34.799,34.673,1:46.677
2022-03-09,9:23 PM,MKS,200,27.816,26.350,26.402,1:20.568
2022-02-03,7:17 PM,MW,150,27.916,52.300,39.667,1:59.883
2022-03-06,8:24 PM,MW,150,28.083,49.750,40.717,1:58.550
2022-03-12,10:12 PM,MW,150,28.116,50.250,39.584,1:57.950
2022-04-14,8:49 PM,MW,150,26.000,49.416,39.017,1:54.433
2022-04-17,6:23 PM,MW,150,26.650,48.050,37.983,1:52.683
2022-02-11,10:40 AM,rCCB,150,42.295,39.361,39.228,2:00.884
2022-02-11,10:43 AM,rCCB,150,41.546,40.091,38.920,2:00.557
2022-02-11,10:49 AM,rCCB,150,41.470,39.427,39.511,2:00.408
2022-02-27,12:18 AM,rCCB,150,41.484,39.017,39.029,1:59.530
2022-03-25,3:13 PM,rCCB,150,41.249,38.879,38.815,1:58.943
2022-04-07,8:06 PM,rCCB,150,40.638,38.409,38.671,1:57.718
2022-06-03,9:53 PM,rCCB,150,40.312,38.277,38.120,1:56.709
2022-02-09,1:07 AM,rDDD,150,48.053,46.253,44.951,2:19.257
2022-02-09,1:26 AM,rDDD,150,47.319,45.030,44.807,2:17.156
2022-02-09,1:33 AM,rDDD,150,46.822,45.412,44.213,2:16.447
2022-02-09,7:18 PM,rDDD,150,46.154,45.320,44.453,2:15.927
2022-02-09,7:22 PM,rDDD,150,45.883,44.323,44.161,2:14.367
2022-03-25,2:50 PM,rDDD,150,45.630,44.098,44.286,2:14.014
2022-04-14,6:34 PM,rDDD,150,45.454,43.863,44.048,2:13.365
2022-04-14,6:43 PM,rDDD,150,45.364,43.367,42.713,2:11.444
2022-05-26,11:39 PM,rDDD,150,44.726,43.309,42.807,2:10.842
2022-06-28,8:19 PM,rDDD,150,44.443,42.950,42.697,2:10.090
2022-06-28,8:51 PM,rDDD,150,44.235,42.282,41.883,2:08.400
2022-06-29,10:33 PM,rDDD,150,43.735,41.712,42.455,2:07.902
2022-02-02,5:20 AM,rDKJ,150,47.323,45.267,45.031,2:17.621
2022-02-11,7:06 AM,rDKJ,150,46.617,45.380,44.655,2:16.652
2022-02-23,12:52 AM,rDKJ,150,46.830,44.938,44.774,2:16.542
2022-03-25,2:56 PM,rDKJ,150,46.766,45.017,44.341,2:16.124
2022-03-25,3:05 PM,rDKJ,150,46.263,45.294,44.342,2:15.899
2022-04-07,10:43 PM,rDKJ,150,46.066,44.431,44.170,2:14.667
2022-05-27,6:06 PM,rDKJ,150,45.819,43.716,43.761,2:13.296
2022-02-01,7:31 AM,rDP3,150,31.385,31.254,30.501,1:33.140
2022-02-01,8:05 AM,rDP3,150,31.803,30.087,30.575,1:32.465
2022-02-02,5:16 AM,rDP3,150,91.802,30.960,29.555,1:32.317
2022-02-03,5:13 PM,rDP3,150,31.039,30.504,30.144,1:31.687
2022-02-03,6:12 PM,rDP3,150,30.856,30.249,30.422,1:31.527
2022-02-03,6:19 PM,rDP3,150,31.658,29.613,30.059,1:31.330
2022-02-03,6:28 PM,rDP3,150,31.704,29.289,29.992,1:30.958
2022-02-06,3:11 AM,rDP3,150,31.090,28.828,29.704,1:29.622
2022-02-09,12:47 AM,rDP3,150,30.302,29.525,29.753,1:29.580
2022-02-09,7:27 PM,rDP3,150,30.272,28.957,29.426,1:28.655
2022-02-11,10:59 AM,rDP3,150,30.532,29.553,28.472,1:28.557
2022-02-14,3:31 AM,rDP3,150,29.759,28.558,30.044,1:28.361
