date,time,cup,track,cc,lap 1,lap 2,lap 3,total
2022-03-12,2:56 PM,Mushroom,Sweet Sweet Canyon,150,40.672,39.340,39.409,1:59.421
2022-02-05,1:13 AM,Mushroom,Thwomp Ruins,150,43.510,40.138,40.706,2:04.354
2022-02-09,10:26 PM,Mushroom,Thwomp Ruins,150,42.719,40.421,40.052,2:03.390
2022-02-09,10:42 PM,Mushroom,Thwomp Ruins,150,42.619,40.164,40.223,2:03.006
2022-02-09,12:14 AM,Mushroom,Thwomp Ruins,150,43.453,40.196,40.071,2:03.720
2022-03-06,9:35 PM,Mushroom,Thwomp Ruins,150,42.612,39.915,39.239,2:01.766
2022-02-27,8:44 PM,Lightning,Tick Tock Clock,150,42.686,40.289,40.454,2:03.429
2022-03-06,8:41 PM,Lightning,Tick Tock Clock,150,42.062,39.662,40.903,2:02.627
2022-02-03,7:07 PM,Flower,Toad Harbor,150,46.889,45.259,45.179,2:17.327
2022-02-26,11:35 PM,Shell,Toad's Turnpike,150,41.964,39.128,38.732,1:59.824
2022-03-06,9:42 PM,Shell,Toad's Turnpike,150,40.796,38.974,39.685,1:59.455
2022-02-01,6:47 AM,Flower,Twisted Mansion,150,44.276,42.327,42.211,2:08.814
2022-02-14,1:53 AM,Flower,Twisted Mansion,150,44.187,42.238,41.811,2:08.236
2022-02-23,1:12 AM,Flower,Twisted Mansion,150,44.227,41.195,41.863,2:07.285
2022-02-23,1:17 AM,Flower,Twisted Mansion,150,43.587,41.366,41.666,2:06.619
2022-03-12,3:41 PM,Flower,Twisted Mansion,150,43.460,41.452,41.688,2:06.600
2022-02-05,1:24 AM,Leaf,Wario Stadium,150,43.624,41.993,42.168,2:07.785
2022-02-05,1:28 AM,Leaf,Wario Stadium,150,42.937,41.794,41.830,2:06.561
2022-02-05,1:55 AM,Leaf,Wario Stadium,150,42.978,41.298,41.687,2:05.963
2022-02-05,2:05 AM,Leaf,Wario Stadium,150,42.712,41.753,41.354,2:05.819
2022-02-17,5:18 PM,Triforce,Wario's Gold Mine,150,46.675,44.322,44.961,2:15.958
2022-02-27,8:38 PM,Mushroom,Water Park,150,39.192,36.514,36.987,1:52.693
2022-03-06,9:38 PM,Mushroom,Water Park,150,39.717,36.300,36.247,1:52.264
2022-03-12,12:22 PM,Mushroom,Water Park,150,39.540,36.627,36.068,1:52.235
2022-03-12,1:55 AM,Mushroom,Water Park,150,39.171,36.551,36.309,1:52.031
2022-02-17,1:01 AM,Crossing,Wild Woods,150,41.022,38.653,38.896,1:58.571
2022-03-06,10:10 PM,Crossing,Wild Woods,150,41.000,38.541,38.977,1:58.518
2022-03-12,9:57 PM,Crossing,Wild Woods,150,41.213,38.758,38.392,1:58.363
2022-02-03,4:02 PM,Egg,Yoshi Circuit,150,40.871,39.497,38.867,1:59.235
2022-02-05,1:09 AM,Egg,Yoshi Circuit,150,41.125,38.943,38.985,1:59.053
2022-02-12,3:32 PM,Egg,Yoshi Circuit,150,40.792,38.956,38.655,1:58.403
2022-02-12,8:20 PM,Egg,Yoshi Circuit,150,40.942,39.246,38.790,1:58.978
2022-02-14,3:46 AM,Egg,Yoshi Circuit,150,40.926,39.354,38.313,1:58.593
2022-02-17,12:26 AM,Leaf,Yoshi Valley,150,46.449,43.604,42.835,2:12.888
2022-02-23,1:28 AM,Leaf,Yoshi Valley,150,45.895,43.345,43.479,2:12.719
2022-02-27,12:02 AM,Leaf,Yoshi Valley,150,45.011,42.828,42.491,2:10.330
2022-02-27,9:20 PM,Leaf,Yoshi Valley,150,44.612,42.127,42.070,2:08.809
