ID,Track,Time,Version,Items,Speed,Category
22/04/19 (08:010),Electrodrome,158.429636,No Items,Cartridge,150cc,48 Tracks
22/04/23 (08:011),Electrodrome,157.389296,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:012),Electrodrome,159.302008,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:015),Electrodrome,158.351062,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:016),Electrodrome,157.113595,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:019),Electrodrome,156.424165,No Items,Cartridge,150cc,48 Tracks
22/02/20 (08:001),Mount Wario,149.275129,No Items,Cartridge,150cc,48 Tracks
22/02/23 (08:002),Mount Wario,150.231518,No Items,Cartridge,150cc,48 Tracks
22/02/25 (08:003),Mount Wario,149.299541,No Items,Cartridge,150cc,48 Tracks
22/02/27 (08:004),Mount Wario,146.838617,No Items,Cartridge,150cc,48 Tracks
22/03/07 (08:005),Mount Wario,146.814981,No Items,Cartridge,150cc,48 Tracks
22/03/13 (08:006),Mount Wario,144.570582,No Items,Cartridge,150cc,48 Tracks
22/03/15 (08:007),Mount Wario,145.786748,No Items,Cartridge,150cc,48 Tracks
22/04/05 (08:008),Mount Wario,146.531388,No Items,Cartridge,150cc,48 Tracks
22/04/19 (08:010),Mount Wario,146.037166,No Items,Cartridge,150cc,48 Tracks
22/04/23 (08:011),Mount Wario,144.519501,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:012),Mount Wario,149.467172,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:015),Mount Wario,144.09898,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:016),Mount Wario,142.920051,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:019),Mount Wario,146.391108,No Items,Cartridge,150cc,48 Tracks
22/02/20 (08:001),Cloudtop Cruise,166.04393,No Items,Cartridge,150cc,48 Tracks
22/02/23 (08:002),Cloudtop Cruise,160.329253,No Items,Cartridge,150cc,48 Tracks
22/02/25 (08:003),Cloudtop Cruise,162.060031,No Items,Cartridge,150cc,48 Tracks
22/02/27 (08:004),Cloudtop Cruise,167.021821,No Items,Cartridge,150cc,48 Tracks
22/03/07 (08:005),Cloudtop Cruise,163.910679,No Items,Cartridge,150cc,48 Tracks
22/03/13 (08:006),Cloudtop Cruise,161.416248,No Items,Cartridge,150cc,48 Tracks
22/03/15 (08:007),Cloudtop Cruise,162.102259,No Items,Cartridge,150cc,48 Tracks
22/04/05 (08:008),Cloudtop Cruise,160.468142,No Items,Cartridge,150cc,48 Tracks
22/04/19 (08:010),Cloudtop Cruise,159.83661,No Items,Cartridge,150cc,48 Tracks
22/04/23 (08:011),Cloudtop Cruise,158.639644,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:012),Cloudtop Cruise,164.037775,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:015),Cloudtop Cruise,162.05866,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:019),Cloudtop Cruise,157.435449,No Items,Cartridge,150cc,48 Tracks
22/02/20 (08:001),Bone-Dry Dunes,159.12439,No Items,Cartridge,150cc,48 Tracks
22/02/23 (08:002),Bone-Dry Dunes,158.518186,No Items,Cartridge,150cc,48 Tracks
22/02/25 (08:003),Bone-Dry Dunes,155.617118,No Items,Cartridge,150cc,48 Tracks
22/02/27 (08:004),Bone-Dry Dunes,157.666336,No Items,Cartridge,150cc,48 Tracks
22/03/07 (08:005),Bone-Dry Dunes,157.398812,No Items,Cartridge,150cc,48 Tracks
22/03/13 (08:006),Bone-Dry Dunes,155.541155,No Items,Cartridge,150cc,48 Tracks
22/03/15 (08:007),Bone-Dry Dunes,155.88259300000001,No Items,Cartridge,150cc,48 Tracks
22/04/05 (08:008),Bone-Dry Dunes,154.267419,No Items,Cartridge,150cc,48 Tracks
22/04/19 (08:010),Bone-Dry Dunes,152.662363,No Items,Cartridge,150cc,48 Tracks
22/04/23 (08:011),Bone-Dry Dunes,155.294674,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:015),Bone-Dry Dunes,154.02902,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:019),Bone-Dry Dunes,151.494373,No Items,Cartridge,150cc,48 Tracks
22/02/20 (08:001),Bowser's Castle,167.638137,No Items,Cartridge,150cc,48 Tracks
22/02/23 (08:002),Bowser's Castle,171.63944,No Items,Cartridge,150cc,48 Tracks
22/02/25 (08:003),Bowser's Castle,164.866893,No Items,Cartridge,150cc,48 Tracks
22/02/27 (08:004),Bowser's Castle,165.132071,No Items,Cartridge,150cc,48 Tracks
22/03/07 (08:005),Bowser's Castle,164.968884,No Items,Cartridge,150cc,48 Tracks
22/03/13 (08:006),Bowser's Castle,165.037172,No Items,Cartridge,150cc,48 Tracks
22/03/15 (08:007),Bowser's Castle,163.12869,No Items,Cartridge,150cc,48 Tracks
22/04/05 (08:008),Bowser's Castle,162.974514,No Items,Cartridge,150cc,48 Tracks
22/04/19 (08:010),Bowser's Castle,166.032246,No Items,Cartridge,150cc,48 Tracks
22/04/23 (08:011),Bowser's Castle,162.474133,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:015),Bowser's Castle,167.259061,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:019),Bowser's Castle,166.267248,No Items,Cartridge,150cc,48 Tracks
22/02/20 (08:001),Rainbow Road,164.266,No Items,Cartridge,150cc,48 Tracks
22/02/23 (08:002),Rainbow Road,166.824412,No Items,Cartridge,150cc,48 Tracks
22/02/25 (08:003),Rainbow Road,167.829479,No Items,Cartridge,150cc,48 Tracks
22/02/27 (08:004),Rainbow Road,170.13433,No Items,Cartridge,150cc,48 Tracks
22/03/07 (08:005),Rainbow Road,163.289821,No Items,Cartridge,150cc,48 Tracks
22/03/13 (08:006),Rainbow Road,161.143797,No Items,Cartridge,150cc,48 Tracks
22/03/15 (08:007),Rainbow Road,163.797763,No Items,Cartridge,150cc,48 Tracks
22/04/05 (08:008),Rainbow Road,161.64092,No Items,Cartridge,150cc,48 Tracks
22/04/19 (08:010),Rainbow Road,168.18726,No Items,Cartridge,150cc,48 Tracks
22/04/23 (08:011),Rainbow Road,159.349466,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:015),Rainbow Road,159.104278,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:019),Rainbow Road,160.764005,No Items,Cartridge,150cc,48 Tracks
22/02/20 (08:001),Wii Moo Moo Meadows,122.428628,No Items,Cartridge,150cc,48 Tracks
22/02/23 (08:002),Wii Moo Moo Meadows,124.172353,No Items,Cartridge,150cc,48 Tracks
22/02/25 (08:003),Wii Moo Moo Meadows,122.428954,No Items,Cartridge,150cc,48 Tracks
22/02/27 (08:004),Wii Moo Moo Meadows,122.441289,No Items,Cartridge,150cc,48 Tracks
22/03/07 (08:005),Wii Moo Moo Meadows,122.026484,No Items,Cartridge,150cc,48 Tracks
22/03/13 (08:006),Wii Moo Moo Meadows,122.618247,No Items,Cartridge,150cc,48 Tracks
22/03/15 (08:007),Wii Moo Moo Meadows,122.235345,No Items,Cartridge,150cc,48 Tracks
22/04/05 (08:008),Wii Moo Moo Meadows,120.599182,No Items,Cartridge,150cc,48 Tracks
22/04/19 (08:010),Wii Moo Moo Meadows,119.857067,No Items,Cartridge,150cc,48 Tracks
22/04/23 (08:011),Wii Moo Moo Meadows,119.833038,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:015),Wii Moo Moo Meadows,119.648303,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:019),Wii Moo Moo Meadows,119.304264,No Items,Cartridge,150cc,48 Tracks
22/02/20 (08:001),GBA Mario Circuit,125.830528,No Items,Cartridge,150cc,48 Tracks
22/02/23 (08:002),GBA Mario Circuit,125.354729,No Items,Cartridge,150cc,48 Tracks
22/02/25 (08:003),GBA Mario Circuit,126.199514,No Items,Cartridge,150cc,48 Tracks
22/02/27 (08:004),GBA Mario Circuit,126.759288,No Items,Cartridge,150cc,48 Tracks
22/03/07 (08:005),GBA Mario Circuit,125.334398,No Items,Cartridge,150cc,48 Tracks
22/03/13 (08:006),GBA Mario Circuit,123.865206,No Items,Cartridge,150cc,48 Tracks
22/03/15 (08:007),GBA Mario Circuit,124.586005,No Items,Cartridge,150cc,48 Tracks
22/04/05 (08:008),GBA Mario Circuit,123.32879,No Items,Cartridge,150cc,48 Tracks
22/04/19 (08:010),GBA Mario Circuit,121.876005,No Items,Cartridge,150cc,48 Tracks
22/04/23 (08:011),GBA Mario Circuit,125.085439,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:015),GBA Mario Circuit,121.635779,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:019),GBA Mario Circuit,122.80498,No Items,Cartridge,150cc,48 Tracks
22/02/20 (08:001),DS Cheep Cheep Beach,150.348572,No Items,Cartridge,150cc,48 Tracks
22/02/23 (08:002),DS Cheep Cheep Beach,148.227032,No Items,Cartridge,150cc,48 Tracks
22/02/25 (08:003),DS Cheep Cheep Beach,148.398508,No Items,Cartridge,150cc,48 Tracks
22/02/27 (08:004),DS Cheep Cheep Beach,148.203193,No Items,Cartridge,150cc,48 Tracks
22/03/07 (08:005),DS Cheep Cheep Beach,146.797452,No Items,Cartridge,150cc,48 Tracks
22/03/13 (08:006),DS Cheep Cheep Beach,146.310089,No Items,Cartridge,150cc,48 Tracks
22/03/15 (08:007),DS Cheep Cheep Beach,148.012097,No Items,Cartridge,150cc,48 Tracks
22/04/05 (08:008),DS Cheep Cheep Beach,147.630503,No Items,Cartridge,150cc,48 Tracks
22/04/19 (08:010),DS Cheep Cheep Beach,148.108059,No Items,Cartridge,150cc,48 Tracks
22/04/23 (08:011),DS Cheep Cheep Beach,144.492787,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:015),DS Cheep Cheep Beach,144.751013,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:019),DS Cheep Cheep Beach,146.188516,No Items,Cartridge,150cc,48 Tracks
22/02/20 (08:001),N64 Toad's Turnpike,147.730741,No Items,Cartridge,150cc,48 Tracks
22/02/23 (08:002),N64 Toad's Turnpike,147.067605,No Items,Cartridge,150cc,48 Tracks
22/02/25 (08:003),N64 Toad's Turnpike,146.511079,No Items,Cartridge,150cc,48 Tracks
22/02/27 (08:004),N64 Toad's Turnpike,145.897467,No Items,Cartridge,150cc,48 Tracks
22/03/07 (08:005),N64 Toad's Turnpike,148.312836,No Items,Cartridge,150cc,48 Tracks
22/03/13 (08:006),N64 Toad's Turnpike,147.242748,No Items,Cartridge,150cc,48 Tracks
22/03/15 (08:007),N64 Toad's Turnpike,146.21115,No Items,Cartridge,150cc,48 Tracks
22/04/05 (08:008),N64 Toad's Turnpike,146.043126,No Items,Cartridge,150cc,48 Tracks
22/04/19 (08:010),N64 Toad's Turnpike,146.32538,No Items,Cartridge,150cc,48 Tracks
22/04/23 (08:011),N64 Toad's Turnpike,142.75698,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:015),N64 Toad's Turnpike,144.866926,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:019),N64 Toad's Turnpike,140.805962,No Items,Cartridge,150cc,48 Tracks
22/02/20 (08:001),GCN Dry Dry Desert,175.277391,No Items,Cartridge,150cc,48 Tracks
22/02/23 (08:002),GCN Dry Dry Desert,173.946395,No Items,Cartridge,150cc,48 Tracks
22/02/25 (08:003),GCN Dry Dry Desert,178.377743,No Items,Cartridge,150cc,48 Tracks
